name	n_hab_planets	n_stars	n_planets	declination	star_temperature	star_metallicity	star_radius	star_age	star_spec_type	star_mass	
11_Com	0	1	1	+17 47 34	4742.0	-0.35	19	NA	G8 III	2.7	
11_UMi	0	1	1	+71 49 26	4340.0	0.04	24.08	NA	K4III	1.8	
14_And	0	1	1	+39 14 10	4813.0	-0.24	11	NA	K0III	2.2	
14_Her	0	1	1	+43 49 18	5311.0	0.43	0.708	NA	K0 V	0.9	
18_Del	0	1	1	+10 50 21	4979.0	-0.052	8.5	NA	G6III	2.3	
1RXS1609	1	1	1	-21 04 58	4060.0	NA	1.35	NA	K7V	0.73	
1SWASP_J1407	0	1	1	-39 45 42.7	NA	NA	0.99	0.016	K5	NA	
24_Sex	1	1	2	-00 54 08	5098.0	-0.03	4.9	NA	G5	1.54	
2M_044144	0	1	1	+23 01 51	3840.0	NA	NA	NA	M8.5	0.02	
2M_0746+20	0	1	1	+20 00 32.18	2205.0	NA	0.089	NA	L0/L1.5	0.12	
2M1207	0	1	1	-39 32 54	2550.0	NA	NA	NA	M8	0.025	
2M_2140+16	0	1	1	+16 25 18	2300.0	NA	0.1	NA	M8.5/L2	0.08	
2M_2206-20	0	1	1	-20 47 05.90	2350.0	NA	0.11	NA	M8	0.13	
2MASS_0122-2439	0	1	1	-24 39 50.65	NA	NA	NA	0.120	M3.5pm0.5	0.40	
42_Dra	1	1	1	+65 33 49	4200.0	-0.46	22.03	NA	K1.5III	0.98	
47_Uma	0	1	3	+40 25 46	5892.0	NA	1.24	NA	G0V	1.03	
4_Uma	0	1	1	+64 19 41	4415.0	-0.25	NA	NA	K1III	1.234	
51_Peg	0	1	1	+20 46 07	5793.0	0.2	1.266	NA	G2 IV	1.11	
61_Vir	0	1	3	-18 18 40	5531.0	-0.01	0.94	NA	G5V	0.95	
6_Lyn	1	1	1	+58 09 46	4978.0	-0.13	5.2	NA	K0IV	1.7	
70_Vir	0	1	1	+13 46 43.6386	5439	-0.09	1.94	7.77	G4 V	1.09	
75_Cet	0	1	1	-01 02 05.6236	4846	NA	10.5	NA	G3III:	2.49	
7_CMa	1	1	1	-19 15 21	4792.0	0.21	2.3	NA	K1 III	1.52	
81_Cet	0	1	1	-03 23 46	4790.0	-0.06	11	NA	G5III	2.4	
AB_Pic	1	1	1	-58 03 15	4875.0	-0.64	NA	NA	K2 V	NA	
alf_Ari	0	1	1	+23 27 44	4553.0	-0.09	13.9	NA	K2III	1.5	
BD-082823	1	1	2	-09 31 00	4746.0	-0.07	NA	NA	K3V	0.74	
BD-10_3166	0	1	1	-10 46 13	5400.0	0.382	1.71	NA	G4 V	0.99	
BD-114672	0	1	1	-11 38 09.73	4475	-0.48	0.52	4.4	K7 V	0.571	
BD14_4559	1	1	1	+14 41 22	4814.0	0.1	NA	NA	K2V	0.86	
BD+15_2940	0	1	1	+15 32 48.9291	4796	0.28	14.7	7.1	K0	1.1	
BD-17_63	0	1	1	-16 13 35	4714.0	-0.03	0.69	NA	K5V	0.74	
BD+20_1790	0	1	1	+20 24 58.66	4410	0.30	NA	NA	K5Ve	0.63	
BD20_2457	0	1	2	+19 53 29	4127.0	-1	NA	NA	K2II	2.8	
BD+20_274	1	1	1	+21 00 19	4296.0	-0.46	17.3	NA	K5 III	0.8	
BD_+48_738	1	1	1	+49 35 13	4414.0	-0.2	11	NA	K0III	0.74	
BD+49_828	1	1	1	+49 43 47.974	4943	-0.19	7.6	2.3	K0	1.52	
beta_Cancri	0	1	1	+09 11 08	4092.1	-0.29	47.2	1.85	K4III	1.7	
beta_Pic	0	1	1	-51 03 59	9790.0	NA	NA	0.012	A6V	1.8	
beta_Ursae_Minoris	1	1	1	+74 09 20	4126	-0.27	38.3	2.95	K4IIIvar	1.4	
CFBDS_1458	0	1	1	+10 13 43	540.0	NA	NA	NA	T9.5	0.02	
CFBDSIR2149	0	0	1	-04 03 08	NA	NA	NA	NA	NA	NA	
CHXR_73	0	1	1	-77 37 33	3840.0	NA	NA	NA	M3.25	0.35	
CoRoT-10	0	1	1	+00 44 46	5075.0	0.26	0.79	NA	K1V	0.89	
CoRoT-11	0	1	1	+05 56 16	6440.0	-0.03	1.37	NA	F6V	1.27	
CoRoT-12	0	1	1	-01 17 47	5675.0	0.16	1.116	NA	G2V	1.078	
CoRoT-13	0	1	1	-05 05 11	5945.0	0.01	1.01	NA	G0V	1.09	
CoRoT-14	0	1	1	-05 32 10	6035.0	0.05	1.21	NA	F9V	1.13	
CoRoT-16	0	1	1	-06 00 09	5650.0	0.19	1.19	NA	G5V	1.098	
CoRoT-17	0	1	1	-06 36 44	5740.0	NA	1.59	NA	G2V	1.04	
CoRoT-18	0	1	1	-00 01 54	5440.0	-0.1	1	NA	G9V	0.95	
CoRoT-19	0	1	1	-00 10 15	6090.0	-0.02	1.65	NA	F9V	1.21	
CoRoT-1	0	1	1	-03 06 08	6298.0	-0.3	1.11	NA	G0V	0.95	
CoRoT-20	0	1	1	+00 13 37	5880.0	0.14	1.02	0.1	G2V	1.14	
CoRoT-21	0	1	1	-00 17 57.06	6200.0	NA	1.945	NA	FIV8	1.29	
CoRoT-22	0	1	1	+06 13 09	5939	0.17	1.136	3.3	G0IV	1.099	
CoRoT-23	0	1	1	+04 21 28	5900.0	0.05	1.61	NA	G0V	1.14	
CoRoT-24	0	1	2	-03 43 10	4950	0.3	0.86	11	K1V	0.91	
CoRoT-25	0	1	1	+06 30 50.04	6040	-0.01	1.19	NA	F9V	1.09	
CoRoT-26	0	1	1	+06 58 11.71	5590	0.01	1.79	NA	G5	1.09	
CoRoT-27	0	1	1	+05 32 19	5900	0.1	1.08	4.21	G2	1.05	
CoRoT-28	0	1	1	+05 34 25.72	5150	0.15	1.78	12.0	G8/9IV	1.01	
CoRoT-29	0	1	1	+06 28 46.99	5260	0.20	0.90	4.5	K0V	0.97	
CoRoT-2	0	1	1	+01 23 02	5575.0	NA	0.902	NA	G7V	0.97	
CoRoT-3	0	1	1	+00 07 19	6740	-0.02	1.56	NA	F3V	1.37	
CoRoT-4	0	1	1	-00 40 22	6190.0	0.05	1.15	NA	F8V	1.1	
CoRoT-5	0	1	1	+00 48 55	6100.0	-0.25	1.186	NA	F9V	1.00	
CoRoT-6	0	1	1	+06 39 48	6090.0	-0.2	1.025	NA	F5V	1.05	
CoRoT-7	0	1	2	-01 03 47	5313.0	0.03	0.87	NA	K0V	0.93	
CoRoT-8	0	1	1	+01 25 36	5080.0	0.3	0.77	NA	K1V	0.88	
CoRoT-9	0	1	1	+06 12 15	5625.0	-0.01	0.94	NA	G3V	0.99	
CT_Cha	1	1	1	-76 27 19	5150.0	NA	NA	NA	K7	NA	
DH_Tau	0	1	1	+26 32 58	3840.0	NA	NA	NA	M0.5V	0.4	
EPIC_201208431	0	1	1	-03 54 20.11	4180	-0.05	0.61	NA	NA	0.64	
EPIC_201295312	0	1	1	-02 31 15.17	5942	-0.02	1.01	NA	NA	1.05	
EPIC_201338508	0	1	2	-01 52 40.71	4135	-0.29	0.56	NA	NA	0.58	
EPIC_201367065	0	1	3	-01 27 17.23	3943	-0.16	0.54		M0.2V	0.56	
EPIC_201384232	0	1	1	-01 11 54.52	5772	-0.05	0.94	NA	NA	0.98	
EPIC_201393098	0	1	1	-01 03 56.72	5688	-0.04	0.91	NA	NA	0.97	
EPIC_201403446	0	1	1	-00 54 26.14	6340	-0.14	1.15	NA	NA	1.13	
EPIC_201445392	0	1	2	-00 17 03.75	4813	-0.1	0.71	NA	NA	0.75	
EPIC_201465501	1	1	1	+00 00 19.08	3453	-0.18	0.32	NA	NA	0.32	
EPIC_201505350	0	1	2	+00 36 12.87	5408	0.38	0.79	NA	K	0.84	
EPIC_201546283	0	1	1	+01 13 50.66	5290	-0.09	0.8	NA	NA	0.86	
EPIC_201549860	0	1	1	+01 17 09.44	4480	-0.01	0.67	NA	NA	0.71	
